text,condition,record_type
Cat has diarrhea after getting into the dog's food.,Digestive Issues,Owner Observation
"Impacted and infected anal sacs causing pain and reluctance to defecate. Expressed sacs, infuse antibiotic ointment.",Digestive Issues,Clinical Notes
"Advise owner on modifications like using carpet runners, ramps instead of stairs, and avoiding slippery surfaces.",Mobility Problems,Clinical Notes
Cat has vomited multiple times in the last hour.,Digestive Issues,Owner Observation
Adjust medication dosages as needed.,Mobility Problems,Clinical Notes
Cat's skin seems very thin and tears easily.,Skin Irritations,Owner Observation
Pruritic sores on chest; medicated bath recommended.,Skin Irritations,Clinical Notes
Cat spends most of her time sleeping in secluded spots.,Mobility Problems,Owner Observation
"Kitten has flaky skin, like bad dandruff.",Skin Irritations,Owner Observation
"Cat is excessively grooming her belly, making it bald.",Parasites,Owner Observation
My Siamese cat is developing crusty lesions on her ear tips and nose.,Skin Irritations,Owner Observation
"Recommend medicated shampoo (e.g., chlorhexidine, ketoconazole) based on cytology findings.",Skin Irritations,Clinical Notes
My cat has Giardia and needs medication.,Parasites,Owner Observation
"Cat has tiny scabs all over her back, feels like sandpaper.",Parasites,Owner Observation
Implement long-term maintenance protocol involving weekly cleaning and application of topical steroid.,Ear Infections,Clinical Notes
"Cat has chronic intermittent vomiting, maybe once or twice a week.",Digestive Issues,Owner Observation
My cat vomited part of a houseplant leaf.,Digestive Issues,Owner Observation
Cat hasn't touched her food in over 24 hours.,Digestive Issues,Owner Observation
My cat keeps getting tapeworms even though I treat her.,Parasites,Owner Observation
My cat has recurrent ear mite infestations.,Parasites,Owner Observation
"Cat is constipated, passing very hard, dry stools.",Digestive Issues,Owner Observation
My kitten has lost the fur on the bridge of her nose.,Skin Irritations,Owner Observation
"Instill long-acting ear medication (e.g., Claro, Osurnia) in clinic.",Ear Infections,Clinical Notes
"Cat has scabs all over her body, especially her back and neck.",Parasites,Owner Observation
My older dog is constipated and strains to defecate.,Digestive Issues,Owner Observation
"Discontinue potentially offending medication (e.g., new antibiotic) and monitor for resolution of GI signs.",Digestive Issues,Clinical Notes
Noticed bright red blood streaks in my cat's poop.,Digestive Issues,Owner Observation
Cat developed a sudden head tilt overnight.,Ear Infections,Owner Observation
Cat seems painful in her abdomen when I pick her up.,Digestive Issues,Owner Observation
My cat has developed bald patches behind her ears.,Skin Irritations,Owner Observation
Cat has excessive flatulence and occasional vomiting.,Digestive Issues,Owner Observation
My cat has roundworms visible in her stool.,Parasites,Owner Observation
Cat has sores inside her mouth and drools excessively.,Skin Irritations,Owner Observation
"Educate owner on signs of IVDD progression (worsening weakness, loss of bladder control, loss of deep pain).",Mobility Problems,Clinical Notes
My cat won't let me clean her ears.,Ear Infections,Owner Observation
Cat has scaly skin on her back.,Skin Irritations,Owner Observation
Cat has hypertrophic osteodystrophy.,Mobility Problems,Owner Observation
Fecal flotation via centrifugation positive for Toxocara cati eggs (+++).,Parasites,Clinical Notes
My cat's skin twitches along her back and she suddenly runs off.,Skin Irritations,Owner Observation
Cat's ear canal looks extremely narrow and difficult to see into.,Ear Infections,Owner Observation
Cat is shaking her head and scratching furiously behind her ears; they look dirty inside.,Parasites,Owner Observation
Monitor urine output (>1-2 ml/kg/hr) as indicator of adequate perfusion and hydration.,Digestive Issues,Clinical Notes
"My cat has dark ear wax, but the vet ruled out mites.",Ear Infections,Owner Observation
My cat has Horner's syndrome secondary to otitis media.,Ear Infections,Owner Observation
"Cat is straining in the litter box, passing small, rock-hard feces.",Digestive Issues,Owner Observation
My cat licks her fur off in stripes.,Skin Irritations,Owner Observation
"Cat has had soft, mushy stool for the past two days.",Digestive Issues,Owner Observation
My cat paws at her ear after I apply the medication.,Ear Infections,Owner Observation
"Pulled a fat, grey tick off my cat's neck after she came inside.",Parasites,Owner Observation
"Cat is excessively grooming, leading to thin fur.",Skin Irritations,Owner Observation
Chronic otitis externa has led to severe hyperplastic changes and calcification of vertical canal.,Ear Infections,Clinical Notes
"Feline patient presents with acute onset hind limb paresis, vocalization, cold/cyanotic paws, absent femoral pulses. High suspicion for ATE.",Mobility Problems,Clinical Notes
